"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform","NewPT"
"20153921","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153922","2-0-120","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.06","0.06","0.06","0.5","0.5","0.03","0.04","0.06","0.06","0.5","0.5","MiSeq","N"
"20153923","23-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153924","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153925","2-6-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153926","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.21","0.07","0.06","0.09","0.5","0.5","MiSeq","N"
"20153927","24-27-28","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.06","0.06","0.12","0.5","0.5","0.18","0.04","0.06","0.1","0.5","0.52","MiSeq","N"
"20153928","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153929","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153930","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153931","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.21","0.07","0.06","0.09","0.5","0.5","MiSeq","N"
"20153932","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153933","2-4-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153934","9-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153935","1-44-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153936","6-7-8","0.5","0.5","0.12","0.25","0.5","2","1","1","0.25","0.5","0.5","2","0.67","1","0.19","0.41","0.56","2.7","MiSeq","N"
"20153937","4-7-7","2","4","1","1","1","4","2","4","0.5","1","1","4","1.81","2.91","0.67","0.86","0.93","3.83","MiSeq","N"
"20153938","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153939","2-4-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153940","15-12-18","4","4","0.5","2","2","4","4","2","0.5","1","2","4","2.41","1.54","0.62","1.16","1.4","3.75","MiSeq","N"
"20153941","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","MiSeq","N"
"20153942","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153943","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153944","12-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","MiSeq","N"
"20153945","4-7-7","2","2","0.5","1","1","4","2","4","0.5","1","1","4","1.81","2.91","0.67","0.86","0.93","3.83","MiSeq","N"
"20153946","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153947","1-0-0","0.03","0.06","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","MiSeq","N"
"20153948","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153949","18-83-8","4","8","1","1","2","4","8","8","1","1","2","4","4.04","7.7","1","0.88","1.67","3.97","MiSeq","N"
"20153950","0-1-1","0.25","0.06","0.06","0.12","0.5","0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.21","0.07","0.06","0.09","0.5","0.5","MiSeq","N"
"20153951","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153952","2-6-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153953","19-1-24","0.5","0.25","0.06","0.25","0.5","0.5","0.5","0.25","0.06","0.25","0.5","0.5","0.44","0.18","0.06","0.24","0.5","0.5","MiSeq","N"
"20153954","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153955","2-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153956","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153957","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153958","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
